image_id,cell_id,x,y,width,height,area,mean,std,min,max
0,1,27,9,163,51,5699,132.79996490612388,27.443777043293384,0.0,212.0
0,2,182,18,131,48,4645,139.3108719052745,30.989442630807208,0.0,206.0
0,3,28,46,162,47,5383,149.4542076908787,17.23935411057194,8.0,204.0
0,4,182,55,130,46,4164,137.23078770413065,16.175276827782913,4.0,175.0
0,5,29,83,160,47,5437,145.70774324075776,19.907282807429535,7.0,199.0
0,6,181,89,128,42,3854,136.99325376232485,14.248515473595932,7.0,187.0
0,7,28,117,158,44,4909,137.9348136076594,18.889937245561754,4.0,188.0
0,8,178,123,129,39,3781,138.39248875958742,14.603310942167326,8.0,190.0
0,9,28,151,155,41,4569,134.19719851170936,17.259793938209103,5.0,195.0
0,10,175,155,127,37,3545,139.961071932299,13.761648513021761,10.0,197.0
0,11,28,183,151,37,4183,125.43103036098493,27.004421647043447,4.0,188.0
0,12,171,184,127,36,3272,133.12744498777505,29.219617030152587,1.0,188.0
1,1,27,0,145,48,5047,139.97008123637804,37.492937006783414,3.0,235.0
1,2,165,4,132,48,4807,168.59704597462036,40.14195343577941,0.0,237.0
1,3,27,33,145,50,4961,161.50272122555936,23.222611875731634,7.0,212.0
1,4,162,42,136,46,4472,172.06462432915922,18.64029818327901,32.0,221.0
1,5,26,69,143,51,4945,166.69969666329627,20.528088968845594,7.0,222.0
1,6,162,78,135,43,4464,177.34363799283153,16.899746950178333,31.0,229.0
1,7,24,105,144,52,5093,176.06597290398585,25.82669602538661,5.0,229.0
1,8,159,113,137,45,4790,179.7918580375783,18.373868859925107,64.0,235.0
1,9,24,143,142,50,4719,161.7755880483153,28.48536185029324,67.0,237.0
1,10,159,150,135,43,4363,177.13752005500803,23.83906566043342,51.0,241.0
1,11,23,178,142,43,4112,167.909046692607,34.356833662674276,0.0,250.0
1,12,158,184,134,38,3813,158.34749541043797,37.43501255311836,3.0,227.0
2,1,25,8,144,46,5072,96.03194006309148,25.063518777761864,0.0,158.0
2,2,161,12,137,44,4605,113.74267100977198,26.173513002204434,0.0,162.0
2,3,24,45,146,42,4613,104.20507262085411,13.507246100718634,70.0,162.0
2,4,163,49,140,39,4166,136.6884301488238,19.880919996739294,11.0,174.0
2,5,24,79,146,43,4868,105.21672144617914,13.724908823047299,16.0,135.0
2,6,164,80,143,43,4544,141.49009683098592,17.073123301001115,34.0,200.0
2,7,24,114,147,43,4741,113.9706812908669,17.302456775929258,7.0,158.0
2,8,164,114,148,43,4755,153.73459516298632,21.496929862207548,10.0,205.0
2,9,24,148,149,41,4575,109.65530054644809,14.33328053589271,6.0,140.0
2,10,166,147,154,42,4734,165.50781580059146,22.63978878175929,21.0,201.0
2,11,25,179,148,36,3708,107.85167206040992,15.254072790124434,7.0,146.0
2,12,165,180,153,35,3759,144.73343974461292,54.21310385496063,0.0,209.0
3,1,0,16,146,49,5356,106.43073188946975,38.67288588405327,1.0,219.0
3,2,138,3,157,59,6133,148.88570030979943,34.63422076015279,0.0,236.0
3,3,0,55,148,43,4597,133.13878616489015,33.78028360213641,56.0,237.0
3,4,141,44,154,51,4968,153.98953301127213,12.715702945265255,28.0,227.0
3,5,4,88,146,42,4641,149.51475975005386,32.9303563397256,11.0,232.0
3,6,143,78,151,52,5010,168.98842315369262,21.528439754706767,24.0,243.0
3,7,10,123,140,41,4238,164.94360547428033,27.235516613382206,6.0,214.0
3,8,143,114,151,50,5169,182.69994196169472,19.901302270767818,3.0,220.0
3,9,16,154,137,40,3891,156.68568491390388,41.36708003195305,0.0,247.0
3,10,145,151,149,44,4518,185.48317839752102,22.315964294821526,7.0,249.0
3,11,22,185,133,31,2826,130.99716914366596,36.59086923990021,8.0,199.0
3,12,148,184,146,35,3372,147.70521945432978,30.199607733824447,0.0,230.0
4,1,16,18,141,40,4104,122.7166179337232,21.125584220077805,1.0,196.0
4,2,149,11,149,43,4602,107.73294219904389,18.99259208477844,0.0,124.0
4,3,17,50,139,37,3688,116.12418655097613,8.145589589544405,8.0,144.0
4,4,149,44,152,40,4348,113.69204231830727,4.756795474754148,54.0,124.0
4,5,19,77,138,41,4300,115.35279069767442,7.096147276198181,24.0,151.0
4,6,150,76,151,42,4731,113.51088564785458,7.09997736515687,16.0,145.0
4,7,21,111,136,42,4481,113.0821245257755,10.876554473644056,6.0,156.0
4,8,149,109,151,45,5134,114.64160498636541,5.346661089154738,35.0,149.0
4,9,24,146,134,42,4270,111.48922716627635,11.135265881025722,5.0,162.0
4,10,151,144,147,44,4913,114.1656828821494,7.283521913069118,15.0,153.0
4,11,26,178,133,41,3928,107.60616089613035,13.378762113475972,2.0,161.0
4,12,151,179,144,43,4588,109.81887532693985,14.185580966824107,0.0,164.0
5,1,26,12,149,49,5289,98.2261297031575,32.48311092757568,0.0,203.0
5,2,168,18,148,47,5201,138.29475100942128,41.99611582991418,0.0,240.0
5,3,26,49,150,46,4873,110.50625897804227,20.35266766998542,8.0,194.0
5,4,168,56,144,43,4564,127.37335670464505,24.973938213102983,5.0,223.0
5,5,27,85,148,44,4852,133.6098516075845,21.8933488541732,23.0,219.0
5,6,168,90,140,41,4303,131.56053915872647,21.880466573278607,4.0,225.0
5,7,27,120,147,44,4768,145.88947147651007,24.343902256410253,7.0,226.0
5,8,167,123,137,41,4252,140.70531514581373,24.624220765842605,13.0,227.0
5,9,27,154,147,40,4339,148.9421525697165,21.171336949980187,5.0,235.0
5,10,167,155,132,39,3766,148.7732342007435,25.20347541768717,2.0,234.0
5,11,28,186,146,35,3827,132.5670237784165,35.14219708246506,2.0,230.0
5,12,167,186,130,33,3005,135.891846921797,37.623592671894414,1.0,216.0
6,1,27,8,147,39,4281,101.69025928521374,35.45425603394969,0.0,201.0
